,New_feature,Volume,Subjectivity,Sentiment,NIFTY50,NIFTY50_train_pred
435,10533.0,229200.0,0.0,0.0,0.0,1.0
2531,10660.0,325800.0,0.0,0.0,1.0,1.0
14084,11325.0,579200.0,0.0,0.0,1.0,1.0
4869,10219.0,483500.0,0.0,0.0,0.0,1.0
10504,12242.0,470300.0,0.0,0.0,0.0,1.0
20489,17137.0,295500.0,0.6,1.0,0.0,
10575,12257.0,411100.0,0.818181818,-1.0,1.0,1.0
2837,11325.0,256500.0,0.0875,0.0,1.0,1.0
2205,10792.0,229600.0,0.471875,-1.0,0.0,1.0
3450,11450.0,0.0,0.0,0.0,1.0,1.0
20700,14806.0,403800.0,0.0,0.0,1.0,
19596,11483.0,350400.0,0.316666667,1.0,0.0,
510,10555.0,171900.0,0.0,0.0,1.0,1.0
4292,11512.0,247900.0,0.264285714,1.0,1.0,1.0
14532,11569.0,527800.0,0.333333333,0.0,1.0,
18737,15841.0,267100.0,0.066666667,0.0,0.0,
17863,15057.0,569100.0,0.8,1.0,0.0,
14048,11226.0,634000.0,0.575,-1.0,1.0,1.0
19588,17479.0,363600.0,0.2125,0.0,1.0,
17505,14350.0,498100.0,0.6,1.0,0.0,
10843,12344.0,616300.0,0.0,0.0,1.0,1.0
8254,11359.0,516000.0,0.503030303,-1.0,0.0,1.0
9568,10404.0,343500.0,0.0,0.0,0.0,1.0
18774,15841.0,267100.0,0.0,0.0,0.0,
12173,13217.0,640500.0,0.54,1.0,1.0,1.0
12388,9358.0,614500.0,0.0,0.0,1.0,1.0
10135,12086.0,720900.0,0.0,0.0,1.0,1.0
14194,11483.0,638200.0,0.0875,0.0,1.0,1.0
8941,11110.0,538100.0,0.25,-1.0,0.0,1.0
15756,13549.0,558400.0,0.0,0.0,1.0,
15322,12576.0,847500.0,0.575,-1.0,1.0,
20520,17929.0,296400.0,0.0,0.0,1.0,
7050,11063.0,321200.0,0.0,0.0,0.0,1.0
933,10633.0,176400.0,0.142857143,-1.0,0.0,1.0
10323,11167.0,733200.0,0.0,0.0,1.0,1.0
15054,11942.0,502300.0,0.0,0.0,1.0,
16016,10398.0,0.0,0.45,1.0,0.0,
10941,12159.0,500.0,0.333333333,0.0,0.0,1.0
16526,17272.0,215000.0,0.066666667,0.0,0.0,
3690,11000.0,405000.0,0.0625,0.0,1.0,1.0
3489,11027.0,248300.0,0.666666667,1.0,1.0,1.0
20590,11526.0,337600.0,0.888888889,1.0,0.0,
6708,11119.0,352200.0,0.0,0.0,1.0,1.0
19713,17739.0,427000.0,0.0,0.0,1.0,
7352,11887.0,348400.0,0.133333333,1.0,1.0,1.0
9545,11521.0,446000.0,0.0,0.0,0.0,1.0
3340,11554.0,254800.0,0.217857143,1.0,1.0,1.0
1369,10193.0,249500.0,0.1625,-1.0,0.0,1.0
4214,10274.0,375000.0,0.246333333,1.0,1.0,1.0
10234,11936.0,599100.0,0.0,0.0,1.0,1.0
14455,11483.0,642300.0,0.0,0.0,0.0,
1549,10725.0,214100.0,0.0,0.0,0.0,1.0
16618,15339.0,648500.0,0.233333333,0.0,0.0,
2587,10975.0,210500.0,0.6,1.0,0.0,1.0
10633,11285.0,809900.0,1.0,1.0,0.0,1.0
8500,11938.0,415200.0,1.0,1.0,1.0,1.0
19569,17456.0,339100.0,0.0,0.0,0.0,
8483,11888.0,530700.0,0.520575758,1.0,1.0,1.0
1820,10695.0,203800.0,0.0625,0.0,1.0,1.0
10181,12000.0,747200.0,0.0,0.0,1.0,1.0
13035,12208.0,576800.0,0.0,0.0,1.0,1.0
354,10958.0,482500.0,0.4,1.0,0.0,1.0
9747,12000.0,563000.0,0.2,1.0,1.0,1.0
19822,16332.0,280200.0,0.333333333,1.0,1.0,
1083,10540.0,206100.0,0.485714286,-1.0,1.0,1.0
1254,10952.0,312100.0,0.491666667,1.0,1.0,1.0
13911,11941.0,823100.0,0.2,1.0,1.0,1.0
1937,10771.0,203100.0,0.0,0.0,1.0,1.0
12930,9319.0,725200.0,0.1,-1.0,0.0,1.0
4912,10549.0,259700.0,0.0,0.0,1.0,1.0
8818,10727.0,521900.0,0.0,0.0,0.0,1.0
5685,10644.0,356900.0,0.498056982,1.0,0.0,1.0
9407,11346.0,587600.0,0.0,0.0,0.0,1.0
16862,14582.0,915000.0,0.175,1.0,1.0,
3996,10566.0,265200.0,0.9,1.0,1.0,1.0
3452,11379.0,0.0,0.125,0.0,1.0,1.0
6059,10842.0,385900.0,0.0,0.0,1.0,1.0
8514,11850.0,302500.0,0.0,0.0,1.0,1.0
1186,10582.0,194200.0,0.5,1.0,1.0,1.0
18305,15771.0,287500.0,0.75,-1.0,0.0,
15243,11844.0,667300.0,0.458333333,1.0,1.0,
12702,9105.0,631500.0,0.6,1.0,1.0,1.0
7489,11726.0,305500.0,0.644444444,1.0,1.0,1.0
5832,10804.0,260800.0,0.602272727,1.0,0.0,1.0
11468,12105.0,502600.0,0.25,1.0,0.0,1.0
11952,10669.0,410100.0,0.0,0.0,0.0,1.0
6241,8986.0,773000.0,0.0,0.0,0.0,1.0
2567,11036.0,0.0,0.3,1.0,1.0,1.0
2921,10767.0,0.0,0.5,1.0,1.0,1.0
14448,11483.0,642300.0,0.25,1.0,0.0,
4608,15870.0,323300.0,0.1875,0.0,1.0,1.0
5170,10661.0,263700.0,0.083333333,-1.0,1.0,1.0
9192,11496.0,629100.0,0.0,0.0,0.0,1.0
18634,15792.0,246700.0,0.227272727,1.0,0.0,
5334,11074.0,536700.0,0.0,0.0,1.0,1.0
11485,11834.0,461000.0,0.0,0.0,0.0,1.0
13859,10113.0,987100.0,0.033333333,0.0,1.0,1.0
17780,17739.0,427000.0,0.333333333,1.0,1.0,
12047,9358.0,614500.0,0.0,0.0,1.0,1.0
16226,10856.0,207600.0,0.516666667,1.0,1.0,
5155,10799.0,456100.0,0.288888889,1.0,1.0,1.0
17336,15050.0,675300.0,0.0,0.0,0.0,
5006,10871.0,296900.0,0.460016835,1.0,1.0,1.0
5168,10661.0,263700.0,0.2,-1.0,1.0,1.0
10739,12312.0,501000.0,0.379166667,1.0,0.0,1.0
6453,11364.0,294500.0,0.0,0.0,0.0,1.0
10727,11242.0,499300.0,0.0,0.0,1.0,1.0
2294,10620.0,352300.0,0.483333333,1.0,0.0,1.0
15453,12891.0,731300.0,0.7,0.0,1.0,
14244,11581.0,719800.0,0.227272727,1.0,1.0,1.0
3608,11156.0,719000.0,0.216666667,1.0,0.0,1.0
5107,11483.0,638200.0,0.2625,-1.0,1.0,1.0
8278,11351.0,458900.0,0.5,0.0,0.0,1.0
18870,15871.0,244800.0,0.443645022,1.0,1.0,
9923,11903.0,514400.0,0.25,1.0,0.0,1.0
11013,12159.0,500.0,0.0,0.0,0.0,1.0
15876,13494.0,687300.0,0.0,0.0,0.0,
8754,10757.0,667100.0,0.55,1.0,1.0,1.0
1661,10526.0,241700.0,0.733333333,1.0,1.0,1.0
13726,11164.0,678900.0,0.3,1.0,0.0,1.0
12412,9488.0,653000.0,0.0,0.0,1.0,1.0
15960,13531.0,458700.0,0.3,1.0,1.0,
843,15771.0,287500.0,0.0,0.0,0.0,1.0
2980,11450.0,0.0,0.0,0.0,1.0,1.0
4034,10450.0,425500.0,0.445650637,1.0,1.0,1.0
18727,15780.0,265300.0,0.0,0.0,1.0,
6531,10851.0,308500.0,0.57,1.0,0.0,1.0
2093,10811.0,196600.0,0.25,0.0,0.0,1.0
12773,11633.0,498300.0,0.454545455,1.0,0.0,1.0
8426,15095.0,671200.0,0.0,0.0,1.0,1.0
6397,11503.0,386200.0,0.0,0.0,0.0,1.0
3066,11399.0,290600.0,0.0,0.0,0.0,1.0
13639,11145.0,772000.0,0.566666667,1.0,1.0,1.0
7699,11684.0,365500.0,0.277272727,1.0,1.0,1.0
7507,11619.0,349000.0,0.0,0.0,1.0,1.0
14083,11325.0,579200.0,0.0,0.0,1.0,1.0
12608,9475.0,846400.0,0.5,1.0,0.0,1.0
20871,11285.0,809900.0,0.0,0.0,0.0,
2636,11018.0,225500.0,0.7,1.0,0.0,1.0
3300,11717.0,251600.0,0.0,0.0,0.0,1.0
14065,11428.0,626200.0,0.0,0.0,1.0,1.0
13236,10296.0,574500.0,0.6875,-1.0,0.0,1.0
18655,14433.0,606800.0,0.0,0.0,0.0,
15251,11844.0,667300.0,0.2,-1.0,1.0,
15030,11887.0,544900.0,0.733333333,1.0,0.0,
18322,15815.0,322200.0,0.2,1.0,1.0,
4108,10126.0,0.0,0.533333333,-1.0,0.0,1.0
1237,10583.0,189200.0,0.0,0.0,0.0,1.0
2903,11533.0,366300.0,0.319047619,1.0,0.0,1.0
17531,10399.0,234100.0,0.0,0.0,1.0,
17209,16259.0,240500.0,0.375,-1.0,1.0,
14,10464.0,167300.0,0.0,0.0,0.0,1.0
5680,10722.0,419700.0,0.0,0.0,0.0,1.0
4791,10543.0,0.0,0.454545455,1.0,0.0,1.0
2795,11251.0,314600.0,0.265,-1.0,1.0,1.0
2930,10757.0,220900.0,0.0,0.0,1.0,1.0
13389,10235.0,936500.0,0.0,0.0,1.0,1.0
18363,15762.0,316700.0,0.0,0.0,1.0,
5950,10697.0,289200.0,0.366666667,-1.0,1.0,1.0
8258,11359.0,516000.0,0.15,1.0,0.0,1.0
7656,11860.0,390300.0,0.428571429,1.0,0.0,1.0
13021,9162.0,805500.0,0.066666667,0.0,0.0,1.0
9902,11913.0,580200.0,0.454545455,1.0,1.0,1.0
16554,15125.0,500100.0,0.0,0.0,1.0,
9866,11913.0,580200.0,0.5,1.0,1.0,1.0
19273,17037.0,464400.0,0.0,0.0,1.0,
14100,11428.0,626200.0,0.0,0.0,1.0,1.0
2609,10972.0,210600.0,0.75,0.0,1.0,1.0
2861,11352.0,269700.0,0.0,0.0,1.0,1.0
20865,17205.0,176000.0,0.0,0.0,1.0,
7325,11733.0,355900.0,0.125,-1.0,1.0,1.0
14993,11867.0,541400.0,1.0,1.0,1.0,
17594,14790.0,457000.0,0.0,0.0,1.0,
5,10543.0,0.0,0.0,0.0,0.0,1.0
17148,14792.0,474200.0,0.486111111,-1.0,1.0,
5025,10952.0,312100.0,0.0,0.0,1.0,1.0
11919,8183.0,925700.0,0.6,1.0,0.0,1.0
18614,15826.0,0.0,0.591666667,1.0,1.0,
17858,15057.0,569100.0,0.571428571,1.0,0.0,
20138,17284.0,261400.0,0.454545455,1.0,1.0,
15010,11922.0,623700.0,0.477272727,1.0,1.0,
13106,11003.0,554300.0,0.4,-1.0,1.0,1.0
7336,11803.0,569000.0,0.45,1.0,0.0,1.0
8607,11028.0,624600.0,0.375,0.0,0.0,1.0
14682,11176.0,472800.0,0.0,0.0,1.0,
15908,13494.0,687300.0,0.25,0.0,0.0,
12260,9251.0,684200.0,0.125,-1.0,1.0,1.0
18759,15797.0,311000.0,0.0,0.0,0.0,
3365,10734.0,173900.0,0.0,0.0,1.0,1.0
16641,15292.0,456000.0,0.1,0.0,0.0,
1940,10771.0,203100.0,0.066666667,1.0,1.0,1.0
8597,11028.0,624600.0,0.414772727,1.0,0.0,1.0
13470,13307.0,591700.0,0.2,1.0,1.0,1.0
18045,15665.0,410200.0,0.4875,1.0,1.0,
4883,10762.0,220500.0,0.1,1.0,1.0,1.0
11461,11916.0,490800.0,0.0,0.0,0.0,1.0
20000,18173.0,324700.0,0.0,0.0,0.0,
3882,11715.0,446900.0,0.066666667,0.0,0.0,1.0
9536,11633.0,867600.0,0.312425595,1.0,0.0,1.0
